song_id,gt_valence_mean,gt_arousal_mean,gt_valence_std,gt_arousal_std,mixed_valence_mean,mixed_arousal_mean,mixed_valence_std,mixed_arousal_std,sep_valence_mean,sep_arousal_mean,sep_valence_std,sep_arousal_std
786.0,0.45,0.725,0.2384848,0.18371174,0.6210495,0.6690887,0.17196739,0.13020279,0.50797623,0.48580858,0.13715447,0.14043985
788.0,0.525,0.6125,0.1457738,0.103832796,0.691736,0.7608621,0.15262309,0.110501036,0.70654255,0.73701257,0.15350474,0.11339314
789.0,0.125,0.35,0.125,0.26100767,0.42993185,0.4000648,0.18574525,0.14517231,0.29348966,0.25265548,0.1056387,0.101426296
790.0,0.725,0.6875,0.108972475,0.11524431,0.7011411,0.77477974,0.15378737,0.11094169,0.6652916,0.6933683,0.1473028,0.11870135
791.0,0.7125,0.7875,0.14842927,0.097628124,0.74058574,0.8347193,0.14777575,0.099391624,0.73186094,0.79129666,0.15173967,0.10615714
792.0,0.625,0.85,0.147902,0.075,0.7410891,0.8284692,0.14973933,0.09961316,0.7540034,0.80944,0.14208534,0.10627559
793.0,0.6375,0.7125,0.15258195,0.1375,0.6086807,0.6424458,0.17215814,0.13633128,0.5652016,0.56363785,0.14302601,0.12303739
794.0,0.575,0.575,0.18708287,0.15,0.63790876,0.6781095,0.15511674,0.12642819,0.55187243,0.5477203,0.14092675,0.13763979
796.0,0.375,0.6,0.19364917,0.22912878,0.6497115,0.70326084,0.14962691,0.114346,0.5266303,0.53299016,0.14027788,0.114046946
797.0,0.775,0.6375,0.13462912,0.103832796,0.6549011,0.6966912,0.15473408,0.119431764,0.55078995,0.5117007,0.14857905,0.12671538
798.0,0.6,0.7375,0.16583124,0.0875,0.6874617,0.7350142,0.16267367,0.120756224,0.6824295,0.69555354,0.14887477,0.14027622
799.0,0.5375,0.7625,0.17721808,0.0875,0.7077446,0.7769681,0.16621864,0.10772538,0.68159264,0.71375114,0.14734788,0.12625545
801.0,0.2875,0.3375,0.12562345,0.17721808,0.5030175,0.4749006,0.18724783,0.16254283,0.38732883,0.35694644,0.14089899,0.14793105
803.0,0.75,0.6875,0.1677051,0.12808688,0.66800135,0.7256089,0.16603933,0.12263556,0.6876279,0.7268789,0.16179359,0.1252926
804.0,0.65,0.675,0.108972475,0.12747549,0.7084809,0.7901472,0.16718426,0.10715011,0.72261465,0.8032799,0.1574417,0.11104454
806.0,0.725,0.6125,0.175,0.17184658,0.5710812,0.5938447,0.16602673,0.14423615,0.4617266,0.43735155,0.1413235,0.1249706
807.0,0.3625,0.3375,0.1419727,0.1681703,0.5076269,0.48216757,0.18297893,0.15920386,0.38403714,0.34403664,0.16482393,0.13855779
808.0,0.25,0.325,0.15811388,0.16955826,0.47000748,0.44337454,0.19039752,0.1531806,0.4021621,0.34432328,0.15690152,0.13203734
809.0,0.65,0.1875,0.22220486,0.10077822,0.47519714,0.44600666,0.18725753,0.15230855,0.37710106,0.32768875,0.14334911,0.1235371
810.0,0.65,0.4125,0.15612495,0.18582585,0.4862879,0.46162632,0.18990275,0.15737443,0.39702728,0.36835024,0.15167895,0.13100207
812.0,0.6875,0.8,0.19565594,0.20310096,0.721423,0.80927205,0.15476826,0.10595611,0.6928207,0.74024355,0.14496012,0.115457356
813.0,0.675,0.675,0.21794495,0.25739077,0.6549962,0.68920636,0.15717903,0.11948085,0.67921,0.6744539,0.14776629,0.114977345
814.0,0.7375,0.7125,0.13050383,0.097628124,0.63497126,0.6706914,0.1666189,0.12568046,0.5412474,0.54207987,0.122489676,0.14503379
815.0,0.3125,0.2875,0.20348525,0.14842927,0.49715033,0.48082057,0.182161,0.15703896,0.40818346,0.34395084,0.14319845,0.12954924
816.0,0.425,0.3,0.24494897,0.17853571,0.49949872,0.46446657,0.18902464,0.15455626,0.35834113,0.3250056,0.15694235,0.13508017
818.0,0.1375,0.275,0.1625,0.1457738,0.5174175,0.4926725,0.1807691,0.15772936,0.4067582,0.36006737,0.15702319,0.13657051
820.0,0.6,0.6625,0.093541436,0.1681703,0.6505232,0.7010807,0.1569735,0.12784626,0.62622964,0.64156383,0.14488082,0.113482
821.0,0.75,0.7875,0.15811388,0.1125,0.7315642,0.8147941,0.15320869,0.10223363,0.7254316,0.7787016,0.14801103,0.12062419
823.0,0.6625,0.675,0.15860721,0.11456439,0.6826961,0.747687,0.15261921,0.11809026,0.64645106,0.6775826,0.1481733,0.121720664
824.0,0.825,0.8625,0.1,0.0875,0.7145672,0.79013604,0.15367748,0.10718961,0.70195085,0.7263879,0.14488651,0.12626609
825.0,0.8375,0.5375,0.097628124,0.1125,0.56478053,0.5774449,0.16570924,0.14272873,0.40996143,0.39004555,0.16044387,0.15401319
827.0,0.825,0.6,0.1,0.19202864,0.5548518,0.57212055,0.17611232,0.14834319,0.40912145,0.38019875,0.15363084,0.15587087
828.0,0.6,0.65,0.13462912,0.15612495,0.6082023,0.63954014,0.16202068,0.13549836,0.52145493,0.51028025,0.14173906,0.12263904
829.0,0.8125,0.8,0.13975425,0.1,0.66428876,0.7275195,0.14911906,0.12069476,0.57668805,0.57643646,0.13917865,0.14465928
830.0,0.6,0.775,0.22912878,0.13462912,0.62524277,0.6750721,0.15750796,0.13465802,0.64376765,0.65727943,0.14757724,0.14141624
831.0,0.9125,0.8375,0.080039054,0.097628124,0.6697235,0.7317386,0.15647803,0.1222921,0.6250437,0.63675576,0.14434631,0.12190061
832.0,0.625,0.85,0.20155644,0.13462912,0.74226767,0.8281561,0.15120207,0.10021789,0.7736977,0.82290965,0.15501633,0.118141554
833.0,0.7,0.8,0.2512469,0.11456439,0.7270868,0.8083323,0.15135428,0.10098833,0.67870736,0.709412,0.15253893,0.1315706
834.0,0.8125,0.8875,0.21102428,0.06731456,0.7134488,0.79364514,0.16569927,0.109730974,0.70132303,0.7694371,0.15451944,0.111326054
835.0,0.6125,0.6625,0.117924765,0.1125,0.71464014,0.7967884,0.15825187,0.109047845,0.62601644,0.6701722,0.15131511,0.1158996
836.0,0.7875,0.8875,0.12562345,0.103832796,0.73636556,0.82293534,0.15364392,0.09908223,0.7544009,0.83127856,0.15419348,0.109426305
837.0,0.725,0.7375,0.122474484,0.117924765,0.72806257,0.8059411,0.14562567,0.101043895,0.7295071,0.7620947,0.14826737,0.11378099
839.0,0.625,0.75,0.17677669,0.1118034,0.68579185,0.7504402,0.1586885,0.11241615,0.6997143,0.74074376,0.16349152,0.12480249
842.0,0.35,0.6,0.23584953,0.20766559,0.6504805,0.708982,0.15540057,0.1252102,0.56664044,0.5736181,0.14564574,0.13506772
844.0,0.75,0.7875,0.125,0.1125,0.7303327,0.8109304,0.1540403,0.10050826,0.7199271,0.7775217,0.14259349,0.11334925
846.0,0.5375,0.925,0.25647855,0.08291562,0.71039444,0.7874833,0.15891588,0.107629105,0.7479385,0.82386273,0.15110031,0.10656312
847.0,0.7625,0.5125,0.15258195,0.15258195,0.6700173,0.7309612,0.15583065,0.121764585,0.5870191,0.57824343,0.15591814,0.14074229
848.0,0.5125,0.7125,0.21972995,0.1681703,0.72526336,0.7973951,0.15512024,0.10559969,0.74921334,0.7859713,0.15719989,0.12705678
850.0,0.6125,0.775,0.2125,0.22912878,0.718628,0.7948571,0.14469065,0.10334107,0.6551118,0.6717813,0.15099432,0.13354968
851.0,0.4125,0.4625,0.14842927,0.1375,0.64979744,0.7048519,0.16198279,0.1288926,0.5318553,0.55050653,0.14573742,0.14820114
852.0,0.45,0.4875,0.2915476,0.20501524,0.61891174,0.66056544,0.15977912,0.13721505,0.43756485,0.4198587,0.15620929,0.14989525
853.0,0.625,0.65,0.15811388,0.093541436,0.59914416,0.624432,0.16388811,0.13632265,0.5532122,0.5478476,0.14665346,0.11476201
854.0,0.7875,0.8375,0.097628124,0.097628124,0.74669313,0.83473575,0.15015313,0.09707172,0.77248126,0.83235365,0.15152971,0.11023653
855.0,0.775,0.875,0.075,0.125,0.72165126,0.79470706,0.15771462,0.109046504,0.7395046,0.74784166,0.16569662,0.12013046
857.0,0.2125,0.675,0.15860721,0.16955826,0.6905034,0.7606649,0.15244316,0.11502983,0.6089563,0.63739973,0.14621674,0.13840486
858.0,0.6125,0.625,0.22672947,0.23048861,0.66960967,0.71645504,0.14911346,0.1122611,0.6814598,0.7357306,0.15417047,0.100826524
859.0,0.725,0.5875,0.18371174,0.22395591,0.63135624,0.68477887,0.16284344,0.13544858,0.65507317,0.6879545,0.14142127,0.11304816
860.0,0.6375,0.675,0.21972995,0.16007811,0.70808405,0.7841538,0.15193085,0.1106669,0.7125959,0.77187824,0.15199299,0.11005344
861.0,0.7625,0.7625,0.15258195,0.1419727,0.7476594,0.83904564,0.14931524,0.09723283,0.78009504,0.84737563,0.1557369,0.109139375
862.0,0.85,0.8875,0.108972475,0.103832796,0.7441207,0.8315421,0.14747566,0.10006033,0.7642727,0.8253523,0.1561371,0.11224074
863.0,0.625,0.575,0.1118034,0.16007811,0.69257355,0.7673143,0.1550935,0.113647595,0.5404827,0.54010695,0.14133328,0.12899445
864.0,0.4090909,0.48863637,0.20007746,0.21620792,0.554168,0.5613348,0.17749396,0.14513265,0.407914,0.3858045,0.17157379,0.15503918
865.0,0.7875,0.8875,0.080039054,0.0875,0.75420076,0.85305524,0.14502215,0.093979,0.7737538,0.83205354,0.14805683,0.11054012
