song_id,gt_valence_mean,gt_arousal_mean,gt_valence_std,gt_arousal_std,mixed_valence_mean,mixed_arousal_mean,mixed_valence_std,mixed_arousal_std,sep_valence_mean,sep_arousal_mean,sep_valence_std,sep_arousal_std
558.0,0.5125,0.55,0.06731456,0.13919412,0.6529054,0.6833197,0.19348432,0.13655186,0.62166846,0.65249926,0.15701868,0.15390477
146.0,0.7375,0.6625,0.06731456,0.15860721,0.70542073,0.76369655,0.16171588,0.12504685,0.62462574,0.65551823,0.16640335,0.13553686
549.0,0.3125,0.4375,0.21830311,0.17897277,0.7403076,0.79889697,0.17582731,0.1093131,0.6098982,0.64239883,0.1689387,0.1372786
364.0,0.4,0.375,0.108972475,0.15811388,0.6912082,0.7330324,0.17717625,0.12796408,0.6009031,0.63182133,0.16552843,0.13505867
970.0,0.4875,0.7,0.1419727,0.13919412,0.6670081,0.71088123,0.1723335,0.13004313,0.6809382,0.7346522,0.16186346,0.1411416
48.0,0.8375,0.725,0.14842927,0.175,0.7045623,0.7583277,0.17706127,0.10228351,0.6792881,0.7523733,0.14449216,0.12373967
605.0,0.875,0.9375,0.125,0.12808688,0.72129434,0.7838815,0.19137858,0.091448866,0.6930668,0.77222735,0.14866832,0.12773015
957.0,0.3375,0.525,0.17721808,0.175,0.5994563,0.6589106,0.18461272,0.13462977,0.6736885,0.72380686,0.148093,0.12895833
26.0,0.7625,0.825,0.0875,0.12747549,0.67362857,0.74741125,0.18714075,0.11665073,0.64976096,0.6953247,0.14863086,0.13640976
280.0,0.525,0.325,0.2,0.15,0.50163305,0.46400598,0.18036118,0.17053334,0.5847098,0.6034336,0.16734003,0.14979778
203.0,0.6875,0.775,0.11524431,0.122474484,0.67192304,0.71484894,0.15914488,0.12126041,0.6834955,0.75320303,0.15579821,0.121981554
338.0,0.7125,0.825,0.14842927,0.11456439,0.70568067,0.7776411,0.18142834,0.120517746,0.64784074,0.6912175,0.14605196,0.1329385
88.0,0.5875,0.625,0.18582585,0.1677051,0.5883482,0.6059152,0.17582542,0.14065243,0.65201616,0.70015645,0.14787057,0.11485425
382.0,0.8636364,0.8863636,0.13541335,0.06428243,0.6568063,0.7019283,0.17639017,0.098558284,0.69172937,0.75382113,0.16021,0.13046017
109.0,0.7875,0.8,0.097628124,0.12747549,0.7096401,0.76404715,0.18470478,0.11496688,0.6379002,0.68973637,0.1573687,0.135539
238.0,0.5625,0.6375,0.13975425,0.21972995,0.56353396,0.5019542,0.18690465,0.16295883,0.47926542,0.42255968,0.15297756,0.15006872
647.0,0.6125,0.5625,0.18915932,0.13975425,0.5825049,0.5999738,0.16343749,0.1521381,0.47183266,0.42704406,0.15703739,0.14421844
747.0,0.775,0.8,0.15612495,0.12747549,0.74515057,0.8088248,0.16042608,0.10770719,0.6887723,0.75908256,0.14946988,0.11872429
591.0,0.35,0.25,0.25495097,0.13693064,0.5388092,0.49367037,0.1816569,0.16380072,0.42152143,0.33084393,0.15326405,0.15676652
224.0,0.5,0.5875,0.125,0.1125,0.5744809,0.5799622,0.18515126,0.16071242,0.53790593,0.5022601,0.16515367,0.15114202
748.0,0.4625,0.3625,0.17721808,0.1419727,0.5201763,0.47575325,0.16517922,0.1724652,0.44689286,0.36969802,0.15448633,0.1476218
86.0,0.725,0.7,0.1457738,0.15,0.6955402,0.7543492,0.18403532,0.11924258,0.6342212,0.67982996,0.14764477,0.13690552
892.0,0.65,0.6625,0.16583124,0.19405219,0.72807646,0.7758293,0.16411276,0.117737204,0.655337,0.70876217,0.1574243,0.122974254
530.0,0.3409091,0.29545453,0.23288524,0.17083292,0.5147213,0.4919477,0.19190603,0.15391035,0.66090506,0.7081938,0.15323602,0.13196215
287.0,0.6875,0.5,0.15051994,0.15811388,0.6215949,0.6309186,0.17991228,0.15292025,0.49951896,0.47257555,0.15155314,0.15179068
75.0,0.7375,0.9625,0.1807104,0.057282194,0.74222475,0.81589395,0.19658425,0.11750503,0.69683826,0.75434196,0.1496209,0.13608226
775.0,0.475,0.3375,0.16583124,0.14842927,0.523716,0.51287436,0.18809035,0.1638092,0.61927587,0.6530431,0.16347827,0.14454144
143.0,0.625,0.5625,0.18540496,0.2321772,0.7311135,0.76826465,0.18570796,0.11717034,0.62172633,0.6508113,0.16120161,0.12717932
252.0,0.3625,0.1375,0.19724667,0.117924765,0.41757694,0.33237427,0.17573285,0.15576163,0.40140888,0.3215634,0.15940702,0.16104375
13.0,0.5875,0.825,0.2168669,0.13919412,0.7076309,0.7734441,0.18894225,0.08436528,0.71573704,0.79633695,0.15377277,0.12605654
251.0,0.4659091,0.4318182,0.17750567,0.12344069,0.6735371,0.7069956,0.19535713,0.1298199,0.5244987,0.49312365,0.16472992,0.14936133
578.0,0.625,0.4625,0.15811388,0.1375,0.5468162,0.5368072,0.17673434,0.13638183,0.6236944,0.6385132,0.15916805,0.12140472
398.0,0.4375,0.4375,0.25155765,0.17001837,0.45405874,0.41946793,0.17481476,0.15749684,0.51123273,0.49085122,0.16423036,0.14627677
598.0,0.8125,0.85,0.13975425,0.108972475,0.7180257,0.8183945,0.18868804,0.09857163,0.7158601,0.7942447,0.15516013,0.12326316
837.0,0.725,0.7375,0.122474484,0.117924765,0.6781413,0.7398871,0.18685976,0.106562085,0.6012322,0.6265326,0.15075809,0.1353897
484.0,0.625,0.675,0.1118034,0.1,0.63388795,0.6772969,0.18352957,0.1238291,0.49053192,0.44065425,0.1802948,0.1558335
670.0,0.425,0.35,0.17853571,0.16583124,0.5023309,0.48982748,0.19262062,0.1580343,0.5650085,0.568306,0.16250624,0.14706986
517.0,0.425,0.2625,0.19525625,0.1807104,0.5158891,0.49174458,0.17817275,0.15961201,0.49652532,0.46331754,0.16434099,0.15679419
600.0,0.65,0.4125,0.22912878,0.17721808,0.46704713,0.3820602,0.18065754,0.15392299,0.38858017,0.29862016,0.14112738,0.14886147
531.0,0.3,0.225,0.21794495,0.122474484,0.5236574,0.522135,0.17915887,0.15704548,0.62099427,0.6459844,0.15852435,0.13585593
333.0,0.775,0.7875,0.16583124,0.1375,0.71837157,0.78167117,0.18029693,0.10465689,0.59279704,0.60395736,0.16361496,0.14120804
188.0,0.4,0.3125,0.16583124,0.21830311,0.5210672,0.53150123,0.1773412,0.15354268,0.46932027,0.40331346,0.16806558,0.15425283
381.0,0.8,0.9375,0.16955826,0.08385255,0.6923507,0.7490223,0.16941735,0.11009566,0.6809848,0.7391166,0.16152845,0.14038903
716.0,0.525,0.5,0.26100767,0.209165,0.6097339,0.615945,0.1830504,0.15698498,0.5644719,0.57559496,0.17291202,0.14335579
831.0,0.9125,0.8375,0.080039054,0.097628124,0.6634837,0.71606815,0.17692211,0.11541455,0.5664789,0.56614304,0.16907336,0.14236692
707.0,0.3,0.3125,0.19525625,0.19565594,0.5839904,0.5865568,0.16543981,0.15414801,0.6368053,0.6840483,0.15347393,0.13284494
763.0,0.55,0.3875,0.21065374,0.19724667,0.47235206,0.43681157,0.18323138,0.16932727,0.41306344,0.3407772,0.1665782,0.15905768
65.0,0.75,0.5875,0.1118034,0.080039054,0.5420465,0.54744655,0.16888337,0.15741283,0.49237645,0.4503303,0.15902732,0.15200996
678.0,0.8625,0.7875,0.103832796,0.057282194,0.7136498,0.7761627,0.16989191,0.10432277,0.5555978,0.5558929,0.16613425,0.13062115
196.0,0.3625,0.4375,0.17184658,0.23881216,0.44541824,0.3789382,0.17830512,0.16095753,0.4030182,0.32021433,0.16062632,0.16753985
885.0,0.4875,0.425,0.1807104,0.18708287,0.51409245,0.5014509,0.18362449,0.16381346,0.6153621,0.6509017,0.15738358,0.13071987
924.0,0.65,0.6125,0.24238399,0.117924765,0.5862144,0.58817106,0.17090614,0.14644796,0.5427292,0.54023224,0.1585113,0.119613744
360.0,0.55,0.5875,0.23184046,0.1125,0.5188287,0.5221315,0.1696171,0.16068022,0.5372908,0.5151214,0.1845399,0.14950801
752.0,0.7875,0.8375,0.2625,0.15860721,0.58359647,0.59530294,0.1780734,0.16816404,0.66749936,0.7114629,0.16112177,0.14383039
166.0,0.575,0.625,0.16955826,0.23048861,0.7338366,0.78290194,0.16868377,0.11671894,0.6405939,0.70249003,0.14799014,0.11627425
485.0,0.7,0.7125,0.17853571,0.12562345,0.7380989,0.78684556,0.16840413,0.1138419,0.5921486,0.6168322,0.1615336,0.13394184
147.0,0.65,0.55,0.13462912,0.16007811,0.57358885,0.59210354,0.17972599,0.16939695,0.54706967,0.54571164,0.17611663,0.15153283
144.0,0.825,0.8625,0.061237242,0.06731456,0.7678053,0.8424747,0.16451578,0.10145398,0.6728511,0.73681223,0.15862425,0.13604382
351.0,0.55,0.275,0.18708287,0.175,0.49907973,0.4848223,0.17896917,0.16072974,0.5274916,0.5172971,0.17290294,0.1504893
18.0,0.8375,0.8,0.097628124,0.13919412,0.58622116,0.60194457,0.18191281,0.16289663,0.55350393,0.5580725,0.170271,0.14590687
420.0,0.55,0.775,0.15,0.175,0.629838,0.6676123,0.16755155,0.14625505,0.67173934,0.72604626,0.15971552,0.12698811
736.0,0.4125,0.4875,0.1375,0.17184658,0.75709796,0.81193805,0.17686926,0.11188217,0.5442588,0.5463904,0.16987495,0.14646593
119.0,0.6625,0.4875,0.1125,0.117924765,0.5847274,0.5934762,0.17149833,0.15261565,0.5180499,0.4966674,0.17541225,0.15179604
354.0,0.5125,0.35,0.1625,0.175,0.4314401,0.37032828,0.17619908,0.16117838,0.5085567,0.48208234,0.17418958,0.15624242
172.0,0.625,0.6375,0.147902,0.1807104,0.55472076,0.57475173,0.18052667,0.15353572,0.52232224,0.4984585,0.15506293,0.1419129
554.0,0.65,0.6625,0.122474484,0.1125,0.70018655,0.7686205,0.17123584,0.109067656,0.53773874,0.5210405,0.18207097,0.15010385
922.0,0.7375,0.7625,0.1419727,0.117924765,0.7270322,0.7802561,0.15175597,0.10673262,0.5812028,0.59615016,0.16693422,0.14226067
565.0,0.6375,0.725,0.21972995,0.16583124,0.6934584,0.74794304,0.17939973,0.12431851,0.61885536,0.66162556,0.15212756,0.1309436
